Ozono,RadSol,Vient,Temp,Mes,Dia
21,259,15.5,76,9,12
32,92,12,61,5,24
20,37,9.2,65,6,18
NA,139,8.6,82,7,11
28,273,11.5,82,8,13
NA,266,14.9,58,5,26
NA,98,11.5,80,6,28
14,334,11.5,64,5,16
89,229,10.3,90,8,8
19,99,13.8,59,5,8
39,323,11.5,87,6,10
22,71,10.3,77,8,16
18,131,8,76,9,29
NA,64,11.5,79,8,15
31,244,10.9,78,8,19
118,225,2.3,94,8,29
44,190,10.3,78,8,20
30,193,6.9,70,9,26
NA,NA,14.3,56,5,5
12,149,12.6,74,5,3
110,207,8,90,8,9
9,24,13.8,81,8,2
18,313,11.5,62,5,4
45,252,14.9,81,5,29
71,291,13.8,90,6,9
44,236,14.9,81,9,11
7,48,14.3,80,7,15
NA,322,11.5,79,6,15
NA,91,4.6,76,6,23
49,248,9.2,85,7,2
21,259,15.5,77,8,21
16,256,9.7,69,5,12
8,19,20.1,61,5,9
1,8,9.7,59,5,21
6,78,18.4,57,5,18
37,284,20.7,72,6,17
35,274,10.3,82,7,17
84,237,6.3,96,8,30
44,192,11.5,86,8,12
13,112,11.5,71,9,15
36,118,8,72,5,2
9,36,14.3,72,8,22
30,322,11.5,68,5,19
45,212,9.7,79,8,24
91,189,4.6,93,9,4
23,299,8.6,65,5,7
46,237,6.9,78,9,16
32,92,15.5,84,9,6
65,157,9.7,80,8,14
23,148,8,82,6,13
14,191,14.3,75,9,28
135,269,4.1,84,7,1
13,137,10.3,76,6,20
NA,31,14.9,77,6,29
78,NA,6.9,86,8,4
NA,291,14.9,91,7,14
115,223,5.7,79,5,30
18,224,13.8,67,9,17
16,7,6.9,74,7,21
NA,153,5.7,88,8,27
NA,250,6.3,76,6,24
52,82,12,86,7,27
21,230,10.9,75,9,9
97,267,6.3,92,7,8
NA,186,9.2,84,6,4
13,238,12.6,64,9,21
122,255,4,89,8,7
7,49,10.3,69,9,24
NA,259,10.9,93,6,11
9,24,10.9,71,9,14
23,14,9.2,71,9,22
66,NA,4.6,87,8,6
23,115,7.4,76,8,18
NA,287,9.7,74,6,2
14,274,10.9,68,5,14
11,320,16.6,73,5,22
85,175,7.4,89,7,10
39,83,6.9,81,8,1
16,201,8,82,9,20
97,272,5.7,92,7,9
77,276,5.1,88,7,7
NA,332,13.8,80,6,14
11,44,9.7,62,5,20
35,NA,7.4,85,8,5
28,238,6.3,77,9,13
50,275,7.4,86,7,29
NA,222,8.6,92,8,10
64,175,4.6,83,7,5
NA,258,9.7,81,7,22
79,187,5.1,87,7,19
20,252,10.9,80,9,7
168,238,3.4,81,8,25
13,27,10.3,76,9,18
24,259,9.7,73,9,10
NA,66,16.6,57,5,25
37,279,7.4,76,5,31
78,197,5.1,92,9,2
23,13,12,67,5,28
10,264,14.3,73,7,12
12,120,11.5,73,6,19
